ABM	AIR BATTLE MANAGER
ACE	AGILE COMBAT EMPLOYMENT
AD	ACTIVE DUTY
ADCON	ADMINISTRATIVE CONTROL
AFE	AIRCREW FLIGHT EQUIPMENT
AFFORGEN	AIR FORCE FORCE GENERATION
AFI	AIR FORCE INSTRUCTION
AFMAN	AIR FORCE MANUAL
AFSC	AIR FORCE SPECIALTY CODE
AFSO21	AIR FORCE SMART OPERATIONS FOR THE 21ST CENTURY
AGE	AEROSPACE GROUND EQUIPMENT
AGR	ACTIVE GUARD RESERVE
AI	ARTIFICIAL INTELLIGENCE
ALQ	AIRMAN LEADERSHIP QUALITY
ALS	AIRMAN LEADERSHIP SCHOOL
AOC	AIR OPERATIONS CENTER
AOR	AREA OF RESPONSIBILITY
APF	APPROPRIATED FUNDS
ART	AIR RESERVE TECHNICIAN
AT	ANNUAL TOUR
ATC	AIR TRAFFIC CONTROL
ATO	AIR TASKING ORDER
BMT	BASIC MILITARY TRAINING
BNR	BY NAME REQUEST
BTZ	BELOW-THE-ZONE
C2	COMMAND AND CONTROL
C4ISR	COMMAND, CONTROL, COMMUNICATIONS, COMPUTERS, INTELLIGENCE, SURVEILLANCE AND RECONNAISSANCE
CAOC	COMBINED AIR OPERATIONS CENTER
CAS	CLOSE AIR SUPPORT
CAT	CRISIS ACTION TEAM
CATM	COMBAT ARMS TRAINING AND MAINTENANCE
CBRN	CHEMICAL, BIOLOGICAL, RADIOLOGICAL, NUCLEAR
CBT	COMPUTER BASED TRAINING
CCAF	COMMUNITY COLLEGE OF THE AIR FORCE
CCIP	COMMANDER'S INSPECTION PROGRAM
CDI	COMMANDER DIRECTED INVESTIGATION
CFETP	CAREER FIELD EDUCATION AND TRAINING PLAN
CFM	CAREER FIELD MANAGER
CLA	CHIEF MASTER SERGEANT LEADERSHIP ACADEMY
CLC	CHIEF MASTER SERGEANT LEADERSHIP COURSE
COA	COURSE OF ACTION
CODEL	CONGRESSIONAL DELEGATION
CONOPS	CONCEPT OF OPERATIONS
CONUS	CONTINENTAL UNITED STATES
COOP	CONTINUITY OF OPERATIONS
CPI	CONTINUOUS PROCESS IMPROVEMENT
CPR	CARDIOPULMONARY RESUSCITATION
CSAR	COMBAT SEARCH AND RESCUE
CUI	CONTROLLED UNCLASSIFIED INFORMATION
DAFI	DEPARTMENT OF THE AIR FORCE INSTRUCTION
DAFMAN	DEPARTMENT OF THE AIR FORCE MANUAL
DEOCS	DEFENSE EQUAL OPPORTUNITY CLIMATE SURVEY
DG	DISTINGUISHED GRADUATE
DHA	DEFENSE HEALTH AGENCY
DSG	DRILL STATUS GUARDSMAN
DV	DISTINGUISHED VISITOR
EKIA	ENEMY KILLED IN ACTION
EOC	EMERGENCY OPERATIONS CENTER
EOD	EXPLOSIVE ORDNANCE DISPOSAL
EOY	END OF YEAR
EPB	ENLISTED PERFORMANCE BRIEF
EW	ELECTRONIC WARFARE
FAM	FUNCTIONAL AREA MANAGER
FHP	FLYING HOUR PROGRAM
FMC	FULLY MISSION CAPABLE
FOB	FORWARD OPERATING BASE
FOC	FULL OPERATIONAL CAPABILITY
FOL	FORWARD OPERATING LOCATION
FPCON	FORCE PROTECTION CONDITIONS
FTEC	FIRST TERM ENLISTED COURSE
FTU	FORMAL TRAINING UNIT
GPA	GRADE POINT AVERAGE
GPS	GLOBAL POSITIONING SYSTEM
GSU	GEOGRAPHICALLY SEPARATED UNIT
GTC	GOVERNMENT TRAVEL CARD
IDT	INACTIVE DUTY TRAINING
IDE	INTERMEDIATE DEVELOPMENTAL EDUCATION
IED	IMPROVISED EXPLOSIVE DEVICE
IMA	INDIVIDUAL MOBILIZATION AUGMENTEE
IOC	INITIAL OPERATIONAL CAPABILITY
IP	INSTRUCTOR PILOT
ISR	INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE
IT	INFORMATION TECHNOLOGY
JADC2	JOINT ALL DOMAIN COMMAND AND CONTROL
JROTC	JUNIOR RESERVE OFFICER TRAINING CORPS
KIA	KILLED IN ACTION
LOE	LINE OF EFFORT
MCA	MULTI-CAPABLE AIRMEN
MDS	MISSION DESIGN SERIES
MILCON	MILITARY CONSTRUCTION
MILPDS	MILITARY PERSONNEL DATA SYSTEM
MOA	MEMORANDUM OF AGREEMENT
MOU	MEMORANDUM OF UNDERSTANDING
MTF	MEDICAL TREATMENT FACILITY
MWR	MORALE, WELFARE, AND RECREATION
MX	MAINTENANCE
NC3	NUCLEAR COMMAND, CONTROL, AND COMMUNICATIONS
NCOA	NONCOMMISSIONED OFFICER ACADEMY
NCR	NATIONAL CAPITAL REGION
NDAA	NATIONAL DEFENSE AUTHORIZATION ACT
NDS	NATIONAL DEFENSE STRATEGY
NEO	NONCOMBATANT EVACUATION OPERATION
NIPR	NON-SECURE INTERNET PROTOCOL ROUTER
NMC	NON MISSION CAPABLE
O&M	OPERATIONS AND MAINTENANCE
OCO	OVERSEAS CONTINGENCY OPERATIONS
OCONUS	OUTSIDE CONTINENTAL UNITED STATES
OJT	ON THE JOB TRAINING
OPLAN	OPERATIONS PLAN
OPSEC	OPERATIONAL SECURITY
OTS	OFFICER TRAINING SCHOOL
PCS	PERMANENT CHANGE OF STATION
PDE	PRIMARY DEVELOPMENTAL EDUCATION
PFA	PHYSICAL FITNESS ASSESSMENT
PME	PROFESSIONAL MILITARY EDUCATION
POC	POINT OF CONTACT
PT	PHYSICAL TRAINING
QA	QUALITY ASSURANCE
QoL	QUALITY OF LIFE
ROE	RULES OF ENGAGEMENT
ROTC	RESERVE OFFICER TRAINING CORPS
RPA	REMOTELY PILOTED AIRCRAFT
SAPR	SEXUAL ASSAULT PREVENTION AND RESPONSE
SCIF	SENSITIVE COMPARTMENTED INFORMATION FACILITY
SDE	SENIOR DEVELOPMENTAL EDUCATION
SERE	SURVIVAL, EVASION, RESISTANCE, ESCAPE
SIPR	SECRET INTERNET PROTOCOL ROUTER
SME	SUBJECT MATTER EXPERT
SNCOA	SENIOR NONCOMMISSIONED OFFICER ACADEMY
SOF	SPECIAL OPERATIONS FORCES
SOP	STANDARD OPERATING PROCEDURE
SOS	SQUADRON OFFICER SCHOOL
STEM	SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS
TACP	TACTICAL AIR CONTROL PARTY
TCCC	TACTICAL COMBAT CASUALTY CARE
TDY	TEMPORARY DUTY
TFI	TOTAL FORCE INTEGRATION
TR	TRADITIONAL RESERVIST
TS	TOP SECRET
TTP	TACTICS, TECHNIQUES, AND PROCEDURES
UCI	UNIT COMPLIANCE INSPECTION
UCMJ	UNIFORM CODE OF MILITARY JUSTICE
UEI	UNIT EFFECTIVENESS INSPECTION
UTA	UNIT TRAINING ASSEMBLY
UTC	UNIT TYPE CODE
UXO	UNEXPLODED ORDNANCE
WRM	WAR RESERVE MATERIEL
XAB	EXPEDITIONARY AIRBASE
